m_x,r,T,rho,P,l,X,Y,He3,C12,N14,O16,T6,n_e,m_y,X 7Be,pp,B8,N13,O15,F17,Be7,pep,hep
2.6e-06,0.00289,15500000.0,150.0,2.34e+17,2e-05,0.36475,0.62013,8.91e-06,7.8e-06,0.00374,0.00607,15.473,2.011,1.2575609756097562e-06,1.58e-11,8.159756097560974e-06,9.927073170731707e-05,5.930487804878049e-05,8.221707317073171e-05,9.083902439024391e-05,4.0046341463414634e-05,1.2770731707317073e-05,3.4978048780487805e-06
2.7e-06,0.00293,15500000.0,150.0,2.34e+17,2e-05,0.36476,0.62012,8.91e-06,7.8e-06,0.00374,0.00607,15.473,2.011,1.2926829268292682e-06,1.58e-11,8.379268292682925e-06,0.0001020121951219512,6.091463414634145e-05,8.445121951219512e-05,9.33170731707317e-05,4.1139024390243894e-05,1.3112195121951217e-05,3.5934146341463407e-06
2.8e-06,0.00297,15500000.0,150.0,2.34e+17,2e-05,0.36476,0.62012,8.91e-06,7.8e-06,0.00374,0.00607,15.473,2.011,1.3278048780487803e-06,1.58e-11,8.598780487804877e-06,0.00010475365853658535,6.252439024390243e-05,8.668536585365854e-05,9.579512195121951e-05,4.223170731707317e-05,1.3453658536585365e-05,3.689024390243902e-06
2.9e-06,0.00301,15500000.0,150.0,2.34e+17,2e-05,0.36477,0.62011,8.91e-06,7.8e-06,0.00374,0.00607,15.473,2.011,1.3629268292682927e-06,1.58e-11,8.818292682926829e-06,0.00010749512195121951,6.413414634146341e-05,8.891951219512195e-05,9.827317073170732e-05,4.332439024390244e-05,1.3795121951219511e-05,3.7846341463414633e-06
3e-06,0.00305,15500000.0,150.0,2.34e+17,3e-05,0.36477,0.62011,8.91e-06,7.8e-06,0.00374,0.00607,15.473,2.011,1.398048780487805e-06,1.58e-11,9.037804878048781e-06,0.00011023658536585367,6.57439024390244e-05,9.115365853658537e-05,0.00010075121951219514,4.441707317073171e-05,1.4136585365853659e-05,3.880243902439025e-06
3.1e-06,0.00309,15500000.0,150.0,2.34e+17,3e-05,0.36478,0.6201,8.91e-06,7.8e-06,0.00374,0.00607,15.473,2.011,1.4331707317073169e-06,1.58e-11,9.25731707317073e-06,0.00011297804878048779,6.735365853658536e-05,9.338780487804876e-05,0.00010322926829268292,4.550975609756097e-05,1.4478048780487802e-05,3.975853658536585e-06
3.3e-06,0.00313,15500000.0,150.0,2.34e+17,3e-05,0.36479,0.62009,8.91e-06,7.8e-06,0.00374,0.00607,15.473,2.011,1.4682926829268293e-06,1.58e-11,9.476829268292682e-06,0.00011571951219512195,6.896341463414634e-05,9.562195121951219e-05,0.00010570731707317073,4.660243902439024e-05,1.481951219512195e-05,4.071463414634146e-06
3.4e-06,0.00317,15500000.0,150.0,2.34e+17,3e-05,0.36479,0.62008,8.91e-06,7.8e-06,0.00374,0.00607,15.473,2.011,1.5034146341463415e-06,1.58e-11,9.696341463414634e-06,0.0001184609756097561,7.057317073170731e-05,9.785609756097561e-05,0.00010818536585365855,4.769512195121951e-05,1.5160975609756097e-05,4.167073170731707e-06
3.5e-06,0.0032,15500000.0,150.0,2.34e+17,3e-05,0.3648,0.62008,8.91e-06,7.8e-06,0.00374,0.00607,15.473,2.011,1.5297560975609758e-06,1.58e-11,9.860975609756099e-06,0.00012051707317073172,7.178048780487805e-05,9.953170731707318e-05,0.0001100439024390244,4.8514634146341467e-05,1.5417073170731706e-05,4.238780487804879e-06
3.6e-06,0.00324,15500000.0,150.0,2.34e+17,3e-05,0.36481,0.62007,8.91e-06,7.8e-06,0.00374,0.00607,15.473,2.011,1.5648780487804875e-06,1.58e-11,1.0080487804878048e-05,0.00012325853658536585,7.339024390243902e-05,0.00010176585365853657,0.00011252195121951219,4.9607317073170726e-05,1.5758536585365852e-05,4.334390243902439e-06
