r,l,log10(n_eN_A),m,nu B8,nu Be7,nu F17,nu hep,nu N13,nu O15,nu pep,nu pp,P,rho,T,X_7Be,X_C12,X_H,X_He3,X_He4,X_N14,X_N16
0.034030931,0.032174267,1.986034148,0.002959289,0.006702159,0.003520917,0.006250922,0.000435301,0.004186137,0.005812719,0.001349371,0.000908865,2.17E+17,138.8486227,15105480.84,1.30E-11,7.45E-06,0.396591637,1.18E-05,0.588515539,0.003739912,0.006201157
0.035013383,0.034855608,1.984593632,0.003278553,0.006849815,0.003653308,0.006396739,0.00046069,0.004291504,0.005958697,0.00141587,0.000956264,2.16E+17,138.2018294,15084873.2,1.28E-11,7.43E-06,0.398362747,1.19E-05,0.586742426,0.003739862,0.006206917
0.035995836,0.037666787,1.983117318,0.003617462,0.006983853,0.003782963,0.006530345,0.000486774,0.004389453,0.006094264,0.001483047,0.001004483,2.15E+17,137.542385,15063822.9,1.26E-11,7.41E-06,0.400171831,1.21E-05,0.584928398,0.003739815,0.006212615
0.036978288,0.040608868,1.98160578,0.003976341,0.007103867,0.003909549,0.006651383,0.000513544,0.004479719,0.006219066,0.001550808,0.001053475,2.14E+17,136.870873,15042334.5,1.25E-11,7.39E-06,0.402018064,1.23E-05,0.583074384,0.003739776,0.006218237
0.037960741,0.04368265,1.980059601,0.004355499,0.007209504,0.00403273,0.006759544,0.000540987,0.004562065,0.006332788,0.001619052,0.001103192,2.13E+17,136.187875,15020412.63,1.23E-11,7.37E-06,0.40390062,1.25E-05,0.581181359,0.003739752,0.006223767
0.038943193,0.046888658,1.978479368,0.004755236,0.007300464,0.004152174,0.006854574,0.000569088,0.004636279,0.006435155,0.001687673,0.001153575,2.12E+17,135.4939687,14998061.99,1.21E-11,7.35E-06,0.405818672,1.27E-05,0.579250341,0.003739748,0.006229186
0.039925646,0.050227146,1.976865674,0.005175842,0.007376512,0.004267552,0.00693628,0.000597829,0.004702183,0.006525939,0.001756557,0.001204563,2.11E+17,134.7897248,14975287.36,1.20E-11,7.33E-06,0.407771393,1.29E-05,0.577282398,0.003739774,0.006234481
0.040908098,0.053698116,1.975219107,0.005617592,0.007437483,0.004378547,0.00700453,0.00062719,0.004759635,0.006604965,0.00182559,0.00125609,2.10E+17,134.0757059,14952093.57,1.18E-11,7.31E-06,0.409757958,1.32E-05,0.575278638,0.003739839,0.006239633
0.041890551,0.057301362,1.973540253,0.006080754,0.007483294,0.004484859,0.007059264,0.00065715,0.004808534,0.006672113,0.001894652,0.001308087,2.09E+17,133.3524638,14928485.55,1.16E-11,7.28E-06,0.411777537,1.34E-05,0.573240218,0.003739953,0.006244628
0.042873003,0.061036517,1.971829687,0.006565581,0.007513953,0.004586209,0.007100499,0.000687686,0.004848826,0.006727331,0.001963628,0.001360484,2.08E+17,132.6205379,14904468.26,1.14E-11,7.26E-06,0.413829267,1.36E-05,0.571168324,0.003740128,0.006249459
0.043855455,0.064903099,1.970087974,0.007072318,0.007529556,0.004682343,0.007128326,0.000718778,0.004880507,0.006770628,0.002032401,0.001413211,2.07E+17,131.8804544,14880046.74,1.13E-11,7.24E-06,0.415912255,1.39E-05,0.569064142,0.00374036,0.006254128
0.044837908,0.068900519,1.968315669,0.007601197,0.007530292,0.004773037,0.007142911,0.000750405,0.004903617,0.00680208,0.002100859,0.001466198,2.06E+17,131.1327259,14855226.09,1.11E-11,7.21E-06,0.418025608,1.41E-05,0.566928841,0.003740614,0.006258637
0.04582036,0.073028086,1.966513316,0.008152442,0.007516433,0.004858089,0.007144489,0.000782544,0.004918243,0.00682182,0.002168892,0.001519375,2.05E+17,130.3778517,14830011.46,1.09E-11,7.19E-06,0.420168432,1.44E-05,0.564763579,0.003740799,0.006262987
0.046802813,0.077285015,1.96468145,0.008726264,0.007488327,0.00493733,0.007133358,0.000815177,0.004924512,0.006830037,0.002236393,0.001572674,2.04E+17,129.6163179,14804408.07,1.07E-11,7.16E-06,0.422339835,1.46E-05,0.562569504,0.003740744,0.006267182
0.047785265,0.08167043,1.962820593,0.009322864,0.007446399,0.005010614,0.007109875,0.000848282,0.004922592,0.006826971,0.002303259,0.001626025,2.03E+17,128.8485968,14778421.16,1.05E-11,7.14E-06,0.424538921,1.49E-05,0.560347746,0.003740182,0.006271224
0.048767718,0.086183366,1.960931261,0.009942433,0.007391139,0.005077824,0.007074447,0.000881839,0.004912683,0.006812913,0.002369389,0.001679362,2.02E+17,128.0751479,14752056.06,1.03E-11,7.11E-06,0.426764799,1.52E-05,0.558099426,0.003738757,0.006275113
0.04975017,0.090822772,1.959013956,0.010585153,0.007323095,0.005138868,0.007027533,0.000915828,0.004895023,0.006788192,0.002434687,0.001732619,2.01E+17,127.2964172,14725318.13,1.01E-11,7.09E-06,0.429016574,1.55E-05,0.555825652,0.003736326,0.006278853
0.050732623,0.095587506,1.957069173,0.011251194,0.007242872,0.005193681,0.006969628,0.000950228,0.004869876,0.006753179,0.002499061,0.00178573,1.99E+17,126.5128375,14698212.75,9.95E-12,7.06E-06,0.431293354,1.58E-05,0.553527517,0.003733442,0.006282445
0.051715075,0.100476339,1.955097395,0.011940716,0.007151118,0.005242223,0.006901267,0.000985016,0.004837533,0.006708278,0.002562423,0.001838631,1.98E+17,125.7248289,14670745.39,9.76E-12,7.03E-06,0.433594244,1.61E-05,0.551206103,0.003731047,0.006285893
