Radius,Reaction Rate
0.1352235335335335,1.6669936044579507e+20
0.136205985985986,1.661519217352798e+20
0.1371884384384384,1.6556688587567422e+20
0.1381708908908908,1.6494510875156467e+20
0.1391533433433433,1.6428745171980127e+20
0.1401357957957958,1.635947803128413e+20
0.1411182482482482,1.628679629859773e+20
0.1421007007007007,1.621078699113492e+20
0.1430831531531531,1.613153718194207e+20
0.1440656056056056,1.604913388878011e+20
0.145048058058058,1.5963663967883713e+20
0.1460305105105105,1.5875214078050674e+20
0.1470129629629629,1.5783873615994995e+20
0.1479954154154154,1.568973580940877e+20
0.1489778678678678,1.5592893515432424e+20
0.1499603203203203,1.5493438854570112e+20
0.1509427727727727,1.5391463186429e+20
0.1519252252252252,1.5287057088170253e+20
0.1529076776776776,1.51803103355902e+20
0.1538901301301301,1.5071311886447713e+20
